"Geneid","SRR1177963","SRR1177964","SRR1177965","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047"
"338","NM_001107552",102,77,79,121,126,124,118,91,179
"339","NM_001039608",298,286,298,288,334,258,337,387,457
"340","NM_001191631",2,11,5,12,2,11,19,10,4
"341","NM_012712",0,0,0,0,0,0,0,0,0
"342","NM_001109894",0,0,0,0,0,0,0,0,0
"343","NM_001109893",0,0,0,0,0,0,0,0,0
"344","NM_001109892",0,0,0,0,0,0,0,0,0
"345","NM_001109896",0,0,0,0,0,0,0,0,0
"346","NM_001109895",0,0,0,0,0,0,0,0,0
"347","NM_022849",255,162,243,519,168,201,294,284,528
"348","NM_001004418",0,0,0,0,0,0,0,0,0
"349","NM_001004415",41,35,34,5,7,7,9,54,160
"350","NM_001107555",131,141,102,128,153,145,105,156,146
"351","NM_001009706",1130,1051,753,745,947,850,710,807,807
"352","NM_001012068",145,150,139,92,136,118,103,114,137
"353","NM_001008347",0,0,0,0,1,0,2,1,1
"354","NM_001143803",0,0,0,0,0,0,0,1,1
"355","NM_001143858",450,483,411,370,447,392,408,474,550
"356","NM_053767",9,5,17,21,19,13,26,20,31
"357","NM_001108506",1,0,1,3,3,4,0,0,1
"358","NM_012861",264,196,154,145,226,205,164,475,541
"359","NM_001130077",0,0,0,0,0,2,0,0,0
"360","NM_001163277",0,0,0,0,0,0,0,0,0
"361","NM_001025058",8,5,2,1,1,5,1,1,2
"362","NM_031811",1289,1179,926,1058,1514,1191,1260,1876,2199
"363","NM_001033691",114,63,261,334,421,317,230,409,908
"364","NM_001015024",27,18,27,44,47,46,22,31,29
"365","NM_181480",325,393,283,334,456,325,494,491,623
"366","NM_001106319",559,684,606,422,428,384,685,716,982
"367","NM_133440",0,0,0,0,0,0,0,0,0
"368","NM_133441",0,0,0,0,0,0,0,0,0
"369","NM_001177828",1,0,0,1,1,0,0,0,1
"370","NM_001107564",19,20,17,37,26,27,25,28,40
"371","NM_001004133",0,0,0,0,0,0,0,0,0
"372","NM_001108512",444,497,413,467,430,444,411,425,452
"373","NM_001106321",1107,1142,937,2949,4427,3424,1224,439,630
"374","NM_001287134",1274,1310,1191,1453,1656,1349,1324,1503,1373
"375","NM_001006998",15,13,10,7,24,23,26,19,43
"376","NM_001108515",1193,1098,995,1406,1378,1207,1231,1744,1815
"377","NM_019167",1949,1575,1638,1104,1142,826,1102,1771,1434
"378","NM_172327",178,210,182,167,213,183,279,251,329
"379","NM_133424",17,8,11,3,9,8,11,5,11
"380","NM_134406",64,45,58,72,78,55,43,57,73
"381","NM_001108516",453,401,388,436,396,411,432,599,665
"382","NM_001008305",289,306,267,229,270,242,383,511,726
"383","NM_053610",1824,1800,1901,1918,2081,1705,2132,2657,2441
"384","NM_001082977",59,58,54,109,111,103,104,63,99
"385","NM_001034943",1,0,3,0,3,1,3,4,3
"386","NM_001011939",745,855,759,1255,1271,1135,1176,1603,1514
"387","NM_139337",481,496,347,539,749,615,474,389,261
"388","NM_021699",240,213,221,183,206,169,206,269,316
"389","NM_001109161",85,92,83,66,108,103,74,73,87
"390","NM_001039007",1,1,1,0,1,0,1,4,17
"391","NM_134379",292,713,350,1272,640,1082,1164,904,905
"392","NM_138908",118,74,83,36,91,53,41,45,25
"393","NM_001191951",252,186,195,263,280,262,176,329,297
"394","NM_031704",434,477,405,569,602,522,552,782,677
"395","NM_001168661",139,117,94,130,133,120,155,176,167
"396","NM_001106335",49,43,44,31,33,36,51,56,132
"397","NM_001008371",670,584,581,539,619,510,585,647,693
"398","NM_031124",21,32,37,29,25,41,33,46,125
"399","NM_001108927",1131,1125,1084,1084,1299,1104,1443,1792,1988
"400","NM_001169120",1243,1256,1013,1041,1184,1104,1136,1244,1353
"401","NM_001000760",0,0,0,0,0,0,0,1,0
"402","NM_001000261",0,0,0,0,0,0,0,0,0
"403","NM_019141",94,109,96,146,164,138,151,142,195
"404","NM_198738",189,180,272,80,75,53,551,544,612
"405","NM_001013151",10,11,13,26,14,33,17,24,41
"406","NM_031036",116,103,123,108,121,111,141,163,167
"407","NM_001270958",0,0,0,0,0,0,0,0,0
"408","NM_017272",2095,5199,1715,1139,162,322,24272,23373,14230
"409","NM_022407",8555,13824,6967,2534,1040,1328,11714,17376,12473
"410","NM_001108521",0,0,0,0,0,0,0,1,0
"411","NM_001014028",151,191,164,136,167,119,215,266,308
"412","NM_001107596",680,837,780,570,1162,845,921,892,1239
"413","NM_001354180",0,0,0,0,0,0,0,0,0
"414","NM_031779",8,3,7,15,13,22,6,3,8
"415","NM_001109164",0,3,2,67,40,0,0,47,0
"416","NM_001012743",1,2,1,3,5,4,1,1,3
"417","NM_001191953",62,94,74,98,92,124,98,71,53
"418","NM_001037197",826,627,721,1206,1422,1395,778,590,782
"419","NM_053706",0,0,0,0,0,0,0,0,0
"420","NM_001004446",474,438,354,808,863,802,602,730,538
"421","NM_001025036",152,136,154,123,112,96,134,298,298
"422","NM_001012172",12,21,23,19,20,11,16,25,26
"423","NM_013032",0,0,0,0,1,0,1,0,0
"424","NM_053646",157,110,123,57,80,74,60,70,74
"425","NM_001035002",553,599,611,563,671,572,684,1010,1013
"426","NM_181386",613,736,514,233,275,249,252,360,345
"427","NM_001106374",0,0,0,0,0,0,0,0,0
"428","NM_001014167",294,352,252,363,444,375,336,251,292
"429","NM_001106373",7927,8076,6523,2117,2120,1797,2361,2647,1650
"430","NM_001107609",65,46,35,26,26,17,34,38,113
"431","NM_022938",0,1,0,2,3,2,2,1,2
